date,type,breakdown,transaction_volume,transaction_nominal
1/1/2019,Credit,Cash Advance,749834,8.28E+11
1/2/2019,Credit,Cash Advance,698171,7.62E+11
1/3/2019,Credit,Cash Advance,718555,8.07E+11
1/4/2019,Credit,Cash Advance,749378,8.29E+11
1/5/2019,Credit,Cash Advance,662725,7.87E+11
1/6/2019,Credit,Cash Advance,624891,7.15E+11
1/7/2019,Credit,Cash Advance,762537,8.64E+11
1/8/2019,Credit,Cash Advance,769523,8.53E+11
1/9/2019,Credit,Cash Advance,785582,8.67E+11
1/10/2019,Credit,Cash Advance,834145,9.15E+11
1/11/2019,Credit,Cash Advance,807482,8.89E+11
1/12/2019,Credit,Cash Advance,800507,9.23E+11
1/1/2020,Credit,Cash Advance,835704,9.35E+11
1/2/2020,Credit,Cash Advance,787177,8.65E+11
1/3/2020,Credit,Cash Advance,792192,8.93E+11
1/4/2020,Credit,Cash Advance,605611,6.98E+11
1/5/2020,Credit,Cash Advance,386296,4.92E+11
1/6/2020,Credit,Cash Advance,441941,5.15E+11
1/7/2020,Credit,Cash Advance,471336,5.32E+11
1/8/2020,Credit,Cash Advance,484783,5.35E+11
1/9/2020,Credit,Cash Advance,427074,4.74E+11
1/10/2020,Credit,Cash Advance,412267,4.60E+11
1/11/2020,Credit,Cash Advance,440817,5.00E+11
1/12/2020,Credit,Cash Advance,387509,4.51E+11
1/1/2021,Credit,Cash Advance,403105,4.63E+11
1/2/2021,Credit,Cash Advance,386691,4.43E+11
1/3/2021,Credit,Cash Advance,456152,6.54E+11
1/4/2021,Credit,Cash Advance,406225,5.94E+11
1/5/2021,Credit,Cash Advance,341797,4.96E+11
1/6/2021,Credit,Cash Advance,394281,5.76E+11
1/7/2021,Credit,Cash Advance,380916,5.33E+11
1/8/2021,Credit,Cash Advance,423413,5.92E+11
1/9/2021,Credit,Cash Advance,412452,6.12E+11
1/10/2021,Credit,Cash Advance,419543,6.05E+11
1/11/2021,Credit,Cash Advance,420819,6.09E+11
1/12/2021,Credit,Cash Advance,404836,5.90E+11
1/1/2022,Credit,Cash Advance,431893,6.05E+11
1/2/2022,Credit,Cash Advance,391395,5.43E+11
1/3/2022,Credit,Cash Advance,461867,6.66E+11
1/4/2022,Credit,Cash Advance,361332,6.19E+11
1/5/2022,Credit,Cash Advance,400214,6.08E+11
1/6/2022,Credit,Cash Advance,425411,6.57E+11
1/7/2022,Credit,Cash Advance,434684,6.56E+11
1/8/2022,Credit,Cash Advance,471307,7.11E+11
1/9/2022,Credit,Cash Advance,460784,6.96E+11
1/10/2022,Credit,Cash Advance,494649,7.24E+11
1/11/2022,Credit,Cash Advance,485091,7.10E+11
1/12/2022,Credit,Cash Advance,461203,7.10E+11
1/1/2023,Credit,Cash Advance,504937,7.48E+11
1/2/2023,Credit,Cash Advance,447865,6.88E+11
