date,type,breakdown,transaction_volume,transaction_nominal
1/1/2019,Debit,Tunai,344019328,2.57E+14
1/2/2019,Debit,Tunai,3381152311,2.53E+14
1/3/2019,Debit,Tunai,3639403241,2.57E+14
1/4/2019,Debit,Tunai,3522286957,2.52E+14
1/5/2019,Debit,Tunai,3861731263,3.11E+14
1/6/2019,Debit,Tunai,3521309927,2.44E+14
1/7/2019,Debit,Tunai,372911501,3.03E+14
1/8/2019,Debit,Tunai,3459845915,2.56E+14
1/9/2019,Debit,Tunai,352005015,2.58E+14
1/10/2019,Debit,Tunai,3981432769,2.64E+14
1/11/2019,Debit,Tunai,3524776811,2.59E+14
1/12/2019,Debit,Tunai,3672947937,2.74E+14
1/1/2020,Debit,Tunai,3434491717,2.55E+14
1/2/2020,Debit,Tunai,3409981292,2.53E+14
1/3/2020,Debit,Tunai,3464137893,2.56E+14
1/4/2020,Debit,Tunai,3042059802,2.28E+14
1/5/2020,Debit,Tunai,3566108928,2.81E+14
1/6/2020,Debit,Tunai,302956762,2.23E+14
1/7/2020,Debit,Tunai,3564950161,2.74E+14
1/8/2020,Debit,Tunai,3463425493,2.62E+14
1/9/2020,Debit,Tunai,3408153985,2.54E+14
1/10/2020,Debit,Tunai,3525695876,2.68E+14
1/11/2020,Debit,Tunai,3419328689,2.59E+14
1/12/2020,Debit,Tunai,3710003411,2.87E+14
1/1/2021,Debit,Tunai,3301426301,2.48E+14
1/2/2021,Debit,Tunai,305761621,2.28E+14
1/3/2021,Debit,Tunai,353978591,2.64E+14
1/4/2021,Debit,Tunai,338418292,2.67E+14
1/5/2021,Debit,Tunai,346091823,2.82E+14
1/6/2021,Debit,Tunai,335516846,2.61E+14
1/7/2021,Debit,Tunai,332294697,2.60E+14
1/8/2021,Debit,Tunai,321758921,2.48E+14
1/9/2021,Debit,Tunai,318836005,2.47E+14
1/10/2021,Debit,Tunai,331055245,2.53E+14
1/11/2021,Debit,Tunai,327981583,2.51E+14
1/12/2021,Debit,Tunai,352500878,2.74E+14
1/1/2022,Debit,Tunai,350015129,2.65E+14
1/2/2022,Debit,Tunai,310780952,2.31E+14
1/3/2022,Debit,Tunai,345851570,2.60E+14
1/4/2022,Debit,Tunai,356633248,3.01E+14
1/5/2022,Debit,Tunai,315147342,2.38E+14
1/6/2022,Debit,Tunai,342370785,2.59E+14
1/7/2022,Debit,Tunai,364045245,2.82E+14
1/8/2022,Debit,Tunai,357369362,2.68E+14
1/9/2022,Debit,Tunai,350699440,2.60E+14
