date,type,breakdown,transaction_volume,transaction_nominal
1/1/2019,Digital Banking,SMS/Mobile Banking,182818435,2.43E+14
1/2/2019,Digital Banking,SMS/Mobile Banking,176027349,2.51E+14
1/3/2019,Digital Banking,SMS/Mobile Banking,159770524,2.58E+14
1/4/2019,Digital Banking,SMS/Mobile Banking,174190798,2.77E+14
1/5/2019,Digital Banking,SMS/Mobile Banking,199644592,3.27E+14
1/6/2019,Digital Banking,SMS/Mobile Banking,154396713,2.23E+14
1/7/2019,Digital Banking,SMS/Mobile Banking,204967590,3.21E+14
1/8/2019,Digital Banking,SMS/Mobile Banking,196206844,3.00E+14
1/9/2019,Digital Banking,SMS/Mobile Banking,198159189,2.85E+14
1/10/2019,Digital Banking,SMS/Mobile Banking,230162554,3.39E+14
1/11/2019,Digital Banking,SMS/Mobile Banking,228392255,3.29E+14
1/12/2019,Digital Banking,SMS/Mobile Banking,255357275,3.71E+14
1/1/2020,Digital Banking,SMS/Mobile Banking,237886083,3.55E+14
1/2/2020,Digital Banking,SMS/Mobile Banking,232328040,3.42E+14
1/3/2020,Digital Banking,SMS/Mobile Banking,267165417,3.84E+14
1/4/2020,Digital Banking,SMS/Mobile Banking,245700461,3.33E+14
1/5/2020,Digital Banking,SMS/Mobile Banking,263912599,3.33E+14
1/6/2020,Digital Banking,SMS/Mobile Banking,275580221,3.69E+14
1/7/2020,Digital Banking,SMS/Mobile Banking,286267383,3.98E+14
1/8/2020,Digital Banking,SMS/Mobile Banking,302656084,4.13E+14
1/9/2020,Digital Banking,SMS/Mobile Banking,303736876,4.23E+14
1/10/2020,Digital Banking,SMS/Mobile Banking,298190704,4.11E+14
1/11/2020,Digital Banking,SMS/Mobile Banking,355605870,4.98E+14
1/12/2020,Digital Banking,SMS/Mobile Banking,358072165,5.11E+14
1/1/2021,Digital Banking,SMS/Mobile Banking,347055162,4.87E+14
1/2/2021,Digital Banking,SMS/Mobile Banking,343026313,4.68E+14
1/3/2021,Digital Banking,SMS/Mobile Banking,402821480,5.71E+14
1/4/2021,Digital Banking,SMS/Mobile Banking,400320467,6.08E+14
1/5/2021,Digital Banking,SMS/Mobile Banking,415157733,5.71E+14
1/6/2021,Digital Banking,SMS/Mobile Banking,451291398,6.38E+14
1/7/2021,Digital Banking,SMS/Mobile Banking,470962904,6.49E+14
1/8/2021,Digital Banking,SMS/Mobile Banking,503141009,6.93E+14
1/9/2021,Digital Banking,SMS/Mobile Banking,507119423,7.18E+14
1/10/2021,Digital Banking,SMS/Mobile Banking,536531065,7.27E+14
1/11/2021,Digital Banking,SMS/Mobile Banking,548144575,7.50E+14
1/12/2021,Digital Banking,SMS/Mobile Banking,608673480,8.52E+14
1/1/2022,Digital Banking,SMS/Mobile Banking,603622364,7.81E+14
1/2/2022,Digital Banking,SMS/Mobile Banking,572454183,6.94E+14
1/3/2022,Digital Banking,SMS/Mobile Banking,673073326,8.24E+14
1/4/2022,Digital Banking,SMS/Mobile Banking,712670671,8.80E+14
1/5/2022,Digital Banking,SMS/Mobile Banking,641783069,7.10E+14
1/6/2022,Digital Banking,SMS/Mobile Banking,669897708,8.02E+14
1/7/2022,Digital Banking,SMS/Mobile Banking,717190682,8.38E+14
1/8/2022,Digital Banking,SMS/Mobile Banking,711858341,8.62E+14
1/9/2022,Digital Banking,SMS/Mobile Banking,705725745,8.45E+14
1/10/2022,Digital Banking,SMS/Mobile Banking,753886500,8.76E+14
1/11/2022,Digital Banking,SMS/Mobile Banking,761274491,8.92E+14
1/12/2022,Digital Banking,SMS/Mobile Banking,831499803,9.93E+14
1/1/2023,Digital Banking,SMS/Mobile Banking,798277996,9.47E+14
1/2/2023,Digital Banking,SMS/Mobile Banking,746605111,8.84E+14
1/3/2023,Digital Banking,SMS/Mobile Banking,821867478,9.84E+14
1/4/2023,Digital Banking,SMS/Mobile Banking,875518197,9.69E+14
1/5/2023,Digital Banking,SMS/Mobile Banking,877122197,1.02E+15
1/6/2023,Digital Banking,SMS/Mobile Banking,889277853,1.01E+15
1/7/2023,Digital Banking,SMS/Mobile Banking,930278319,1.07E+15
1/8/2023,Digital Banking,SMS/Mobile Banking,1219044284,1.44E+15
1/9/2023,Digital Banking,SMS/Mobile Banking,1210955701,1.44E+15
1/1/2019,Digital Banking,Internet Banking,118267537,1.94E+15
1/2/2019,Digital Banking,Internet Banking,105538527,1.67E+15
1/3/2019,Digital Banking,Internet Banking,81827195,1.75E+15
1/4/2019,Digital Banking,Internet Banking,86032591,1.85E+15
1/5/2019,Digital Banking,Internet Banking,95109311,2.06E+15
1/6/2019,Digital Banking,Internet Banking,73700371,1.52E+15
1/7/2019,Digital Banking,Internet Banking,94986972,1.99E+15
1/8/2019,Digital Banking,Internet Banking,90556998,2.61E+15
1/9/2019,Digital Banking,Internet Banking,93799413,1.83E+15
1/10/2019,Digital Banking,Internet Banking,103056615,1.97E+15
1/11/2019,Digital Banking,Internet Banking,101295141,1.86E+15
1/12/2019,Digital Banking,Internet Banking,107617507,2.06E+15
1/1/2020,Digital Banking,Internet Banking,102288721,1.88E+15
1/2/2020,Digital Banking,Internet Banking,108454027,1.73E+15
1/3/2020,Digital Banking,Internet Banking,121399548,2.01E+15
1/4/2020,Digital Banking,Internet Banking,111729859,1.80E+15
1/5/2020,Digital Banking,Internet Banking,120252011,1.54E+15
1/6/2020,Digital Banking,Internet Banking,120211667,1.77E+15
1/7/2020,Digital Banking,Internet Banking,130102190,1.83E+15
1/8/2020,Digital Banking,Internet Banking,135195625,1.73E+15
1/9/2020,Digital Banking,Internet Banking,137781328,1.91E+15
1/10/2020,Digital Banking,Internet Banking,135636237,1.98E+15
1/11/2020,Digital Banking,Internet Banking,152782132,2.14E+15
1/12/2020,Digital Banking,Internet Banking,155660166,2.26E+15
1/1/2021,Digital Banking,Internet Banking,127991742,2.16E+15
1/2/2021,Digital Banking,Internet Banking,121818591,2.08E+15
1/3/2021,Digital Banking,Internet Banking,150771937,2.45E+15
1/4/2021,Digital Banking,Internet Banking,172509894,2.51E+15
1/5/2021,Digital Banking,Internet Banking,186039513,2.55E+15
1/6/2021,Digital Banking,Internet Banking,179563401,2.81E+15
1/7/2021,Digital Banking,Internet Banking,178845426,2.76E+15
1/8/2021,Digital Banking,Internet Banking,189664255,2.78E+15
1/9/2021,Digital Banking,Internet Banking,243704461,3.19E+15
1/10/2021,Digital Banking,Internet Banking,207762678,3.02E+15
1/11/2021,Digital Banking,Internet Banking,272747491,3.25E+15
1/12/2021,Digital Banking,Internet Banking,206344599,3.53E+15
1/1/2022,Digital Banking,Internet Banking,204015404,3.05E+15
1/2/2022,Digital Banking,Internet Banking,194870966,2.68E+15
1/3/2022,Digital Banking,Internet Banking,265885267,3.68E+15
1/4/2022,Digital Banking,Internet Banking,160173479,3.44E+15
1/5/2022,Digital Banking,Internet Banking,260107786,3.06E+15
1/6/2022,Digital Banking,Internet Banking,282768127,3.49E+15
1/7/2022,Digital Banking,Internet Banking,328195720,3.52E+15
1/8/2022,Digital Banking,Internet Banking,329172468,3.70E+15
1/9/2022,Digital Banking,Internet Banking,316600542,3.67E+15
1/10/2022,Digital Banking,Internet Banking,331716186,3.55E+15
1/11/2022,Digital Banking,Internet Banking,351515533,3.67E+15
1/12/2022,Digital Banking,Internet Banking,384481853,4.03E+15
1/1/2023,Digital Banking,Internet Banking,371777442,3.61E+15
1/2/2023,Digital Banking,Internet Banking,348481397,3.38E+15
1/3/2023,Digital Banking,Internet Banking,409762471,3.86E+15
1/4/2023,Digital Banking,Internet Banking,418613300,3.50E+15
1/5/2023,Digital Banking,Internet Banking,447941932,3.99E+15
1/6/2023,Digital Banking,Internet Banking,471921318,3.58E+15
1/7/2023,Digital Banking,Internet Banking,483385309,3.96E+15
1/8/2023,Digital Banking,Internet Banking,209031771,3.65E+15
1/9/2023,Digital Banking,Internet Banking,162671211,3.40E+15
