event_id,date,event_description
1,1/1/2019,
2,2/1/2019,
3,3/1/2019,
4,4/1/2019,
5,5/1/2019,
6,6/1/2019,Eid al-Fitr 2019
7,7/1/2019,
8,8/1/2019,QRIS launched
9,9/1/2019,
10,10/1/2019,
11,11/1/2019,
12,12/1/2019,
13,1/1/2020,
14,2/1/2020,
15,3/1/2020,COVID-19 entered Indonesia
16,4/1/2020,
17,5/1/2020,Eid al-Fitr 2020
18,6/1/2020,
19,7/1/2020,
20,8/1/2020,
21,9/1/2020,
22,10/1/2020,
23,11/1/2020,
24,12/1/2020,
25,1/1/2021,
26,2/1/2021,
27,3/1/2021,
28,4/1/2021,
29,5/1/2021,Eid al-Fitr 2021
30,6/1/2021,
31,7/1/2021,Gradual easing of PPKM
32,8/1/2021,
33,9/1/2021,
34,10/1/2021,
35,11/1/2021,
36,12/1/2021,
37,1/1/2022,
38,2/1/2022,
39,3/1/2022,
40,4/1/2022,
41,5/1/2022,Eid al-Fitr 2022
42,6/1/2022,
43,7/1/2022,
44,8/1/2022,
45,9/1/2022,
46,10/1/2022,
47,11/1/2022,G20 Bali Summit
48,12/1/2022,
49,1/1/2023,
50,2/1/2023,
51,3/1/2023,
52,4/1/2023,Eid al-Fitr 2023
53,5/1/2023,
54,6/1/2023,
55,7/1/2023,
