date,type,breakdown,transaction_volume,transaction_nominal
1/1/2019,UE Bank,Initial,686147,8.66E+10
1/2/2019,UE Bank,Initial,564725,7.55E+10
1/3/2019,UE Bank,Initial,555850,8.72E+10
1/4/2019,UE Bank,Initial,640216,8.43E+10
1/5/2019,UE Bank,Initial,728760,9.35E+10
1/6/2019,UE Bank,Initial,804528,1.07E+11
1/7/2019,UE Bank,Initial,890485,7.32E+10
1/8/2019,UE Bank,Initial,767404,6.48E+10
1/9/2019,UE Bank,Initial,773460,6.42E+10
1/10/2019,UE Bank,Initial,745448,6.03E+10
1/11/2019,UE Bank,Initial,657965,5.00E+10
1/12/2019,UE Bank,Initial,682966,5.08E+10
1/1/2020,UE Bank,Initial,394128,3.19E+10
1/2/2020,UE Bank,Initial,516674,3.00E+10
1/3/2020,UE Bank,Initial,353084,2.32E+10
1/4/2020,UE Bank,Initial,165551,1.57E+10
1/5/2020,UE Bank,Initial,212742,2.34E+10
1/6/2020,UE Bank,Initial,291110,2.40E+10
1/7/2020,UE Bank,Initial,239369,2.58E+10
1/8/2020,UE Bank,Initial,254755,2.84E+10
1/9/2020,UE Bank,Initial,262166,3.14E+10
1/10/2020,UE Bank,Initial,273482,2.83E+10
1/11/2020,UE Bank,Initial,307607,3.38E+10
1/12/2020,UE Bank,Initial,369668,3.96E+10
1/1/2021,UE Bank,Initial,287080,3.10E+10
1/2/2021,UE Bank,Initial,248441,2.69E+10
1/3/2021,UE Bank,Initial,409635,3.50E+10
1/4/2021,UE Bank,Initial,322531,3.40E+10
1/5/2021,UE Bank,Initial,410405,3.55E+10
1/6/2021,UE Bank,Initial,363199,4.06E+10
1/7/2021,UE Bank,Initial,193484,2.25E+10
1/8/2021,UE Bank,Initial,225974,2.71E+10
1/9/2021,UE Bank,Initial,278825,2.97E+10
1/10/2021,UE Bank,Initial,271340,3.32E+10
1/11/2021,UE Bank,Initial,297910,3.67E+10
1/12/2021,UE Bank,Initial,357655,3.93E+10
1/1/2022,UE Bank,Initial,565170,6.45E+10
1/2/2022,UE Bank,Initial,406414,4.07E+10
