date,type,breakdown,transaction_volume,transaction_nominal
1/1/2019,UE Non-Bank,Initial,2656624,5.14E+11
1/2/2019,UE Non-Bank,Initial,3319748,3.98E+11
1/3/2019,UE Non-Bank,Initial,3681842,4.38E+11
1/4/2019,UE Non-Bank,Initial,4255300,4.85E+11
1/5/2019,UE Non-Bank,Initial,5301914,6.34E+11
1/6/2019,UE Non-Bank,Initial,4379435,5.36E+11
1/7/2019,UE Non-Bank,Initial,4956954,6.05E+11
1/8/2019,UE Non-Bank,Initial,7568372,5.22E+11
1/9/2019,UE Non-Bank,Initial,3478147,3.67E+11
1/10/2019,UE Non-Bank,Initial,3761405,5.01E+11
1/11/2019,UE Non-Bank,Initial,3695394,4.98E+11
1/12/2019,UE Non-Bank,Initial,3447267,4.67E+11
1/1/2020,UE Non-Bank,Initial,3121706,4.32E+11
1/2/2020,UE Non-Bank,Initial,3655437,3.60E+11
1/3/2020,UE Non-Bank,Initial,3439415,3.13E+11
1/4/2020,UE Non-Bank,Initial,2747389,3.69E+11
1/5/2020,UE Non-Bank,Initial,3352756,5.29E+11
1/6/2020,UE Non-Bank,Initial,2620751,3.96E+11
1/7/2020,UE Non-Bank,Initial,3083463,4.76E+11
1/8/2020,UE Non-Bank,Initial,3323656,3.88E+11
1/9/2020,UE Non-Bank,Initial,5270015,1.36E+12
1/10/2020,UE Non-Bank,Initial,4078795,9.79E+11
1/11/2020,UE Non-Bank,Initial,3515670,5.46E+11
1/12/2020,UE Non-Bank,Initial,5862350,5.29E+11
1/1/2021,UE Non-Bank,Initial,3758441,4.48E+11
1/2/2021,UE Non-Bank,Initial,5711464,4.11E+11
1/3/2021,UE Non-Bank,Initial,6334664,5.24E+11
1/4/2021,UE Non-Bank,Initial,5530691,9.10E+11
1/5/2021,UE Non-Bank,Initial,6927335,6.28E+11
1/6/2021,UE Non-Bank,Initial,5310144,5.01E+11
1/7/2021,UE Non-Bank,Initial,6506726,6.18E+11
1/8/2021,UE Non-Bank,Initial,6686700,5.13E+11
1/9/2021,UE Non-Bank,Initial,7656323,1.42E+12
1/10/2021,UE Non-Bank,Initial,6709583,1.21E+12
1/11/2021,UE Non-Bank,Initial,6462144,9.62E+11
1/12/2021,UE Non-Bank,Initial,7157705,5.04E+11
1/1/2022,UE Non-Bank,Initial,7077648,4.82E+11
1/2/2022,UE Non-Bank,Initial,7125954,4.78E+11
1/3/2022,UE Non-Bank,Initial,6879376,5.29E+11
1/4/2022,UE Non-Bank,Initial,6397883,6.19E+11
1/5/2022,UE Non-Bank,Initial,7489708,5.67E+11
1/6/2022,UE Non-Bank,Initial,5393917,6.40E+11
1/7/2022,UE Non-Bank,Initial,4677108,5.43E+11
1/8/2022,UE Non-Bank,Initial,4364290,4.98E+11
1/9/2022,UE Non-Bank,Initial,4404640,4.36E+11
1/10/2022,UE Non-Bank,Initial,4320597,8.24E+11
1/11/2022,UE Non-Bank,Initial,5103791,1.16E+12
1/12/2022,UE Non-Bank,Initial,4916073,6.32E+11
1/1/2023,UE Non-Bank,Initial,3638986,5.81E+11
