date,type,transaction_volume,transaction_nominal
1/1/2019,Credit,29012562,2.8E+13
2/1/2019,Credit,26449509,2.58E+13
3/1/2019,Credit,28230128,2.81E+13
4/1/2019,Credit,29120241,2.78E+13
5/1/2019,Credit,29354916,3.05E+13
6/1/2019,Credit,27120802,2.59E+13
7/1/2019,Credit,30346213,2.99E+13
8/1/2019,Credit,28479509,2.82E+13
9/1/2019,Credit,28539329,2.77E+13
10/1/2019,Credit,30157363,2.93E+13
11/1/2019,Credit,29676232,2.87E+13
12/1/2019,Credit,32725116,3.28E+13
1/1/2020,Credit,29984988,2.86E+13
2/1/2020,Credit,27379481,2.59E+13
3/1/2020,Credit,27168332,2.42E+13
4/1/2020,Credit,19364889,1.6E+13
5/1/2020,Credit,18601624,1.51E+13
6/1/2020,Credit,20890310,1.71E+13
7/1/2020,Credit,21561749,1.81E+13
8/1/2020,Credit,22494850,1.82E+13
9/1/2020,Credit,20345622,1.75E+13
10/1/2020,Credit,20266879,1.72E+13
11/1/2020,Credit,23027926,1.99E+13
12/1/2020,Credit,23595782,2.12E+13
1/1/2021,Credit,21367824,1.82E+13
2/1/2021,Credit,20542765,1.72E+13
3/1/2021,Credit,24315456,2.14E+13
4/1/2021,Credit,23250939,2E+13
5/1/2021,Credit,23451934,1.97E+13
6/1/2021,Credit,23221819,1.98E+13
7/1/2021,Credit,20867400,1.71E+13
8/1/2021,Credit,22738002,1.97E+13
9/1/2021,Credit,23133248,2.05E+13
10/1/2021,Credit,24764344,2.14E+13
11/1/2021,Credit,26389765,2.35E+13
12/1/2021,Credit,27857966,2.59E+13
1/1/2022,Credit,27595841,2.47E+13
2/1/2022,Credit,24170959,2.02E+13
3/1/2022,Credit,29034372,2.63E+13
4/1/2022,Credit,26687561,2.56E+13
5/1/2022,Credit,28359760,2.56E+13
6/1/2022,Credit,27926832,2.66E+13
7/1/2022,Credit,28130124,2.64E+13
8/1/2022,Credit,29952766,2.84E+13
9/1/2022,Credit,28620417,2.78E+13
10/1/2022,Credit,29893452,2.83E+13
11/1/2022,Credit,30205708,2.98E+13
12/1/2022,Credit,32188297,3.37E+13
1/1/2023,Credit,32149776,3.2E+13
2/1/2023,Credit,29188226,3.12E+13
3/1/2023,Credit,32185792,3.44E+13
4/1/2023,Credit,30467521,3.08E+13
5/1/2023,Credit,32199494,3.3E+13
6/1/2023,Credit,31870823,3.37E+13
7/1/2023,Credit,34529726,3.61E+13
8/1/2023,Credit,33875020,3.44E+13
9/1/2023,Credit,33367561,3.34E+13
