date,type,transaction_volume,transaction_nominal
01/01/19,UE Bank,186822391,4.94E+12
02/01/19,UE Bank,201399484,4.96E+12
03/01/19,UE Bank,239213606,5.14E+12
04/01/19,UE Bank,262831774,4.99E+12
05/01/19,UE Bank,207259817,5.11E+12
06/01/19,UE Bank,206920510,5.24E+12
07/01/19,UE Bank,243381163,5.63E+12
08/01/19,UE Bank,233188692,6.36E+12
09/01/19,UE Bank,205022933,5.98E+12
10/01/19,UE Bank,216084238,6.55E+12
11/01/19,UE Bank,208315165,6.56E+12
12/01/19,UE Bank,226075447,7.31E+12
01/01/20,UE Bank,208062682,6.40E+12
02/01/20,UE Bank,199819605,6.46E+12
03/01/20,UE Bank,175123131,6.20E+12
04/01/20,UE Bank,103223496,3.49E+12
05/01/20,UE Bank,98035537,3.12E+12
06/01/20,UE Bank,140839152,4.09E+12
07/01/20,UE Bank,183069293,5.00E+12
08/01/20,UE Bank,175083449,5.15E+12
09/01/20,UE Bank,153335321,4.64E+12
10/01/20,UE Bank,165921357,5.09E+12
11/01/20,UE Bank,169601108,5.33E+12
12/01/20,UE Bank,175669721,5.67E+12
01/01/21,UE Bank,153306785,4.90E+12
02/01/21,UE Bank,136288635,4.59E+12
03/01/21,UE Bank,163890441,5.16E+12
04/01/21,UE Bank,163593633,5.37E+12
05/01/21,UE Bank,154664988,5.04E+12
06/01/21,UE Bank,160664606,5.35E+12
07/01/21,UE Bank,110169452,4.00E+12
08/01/21,UE Bank,127095575,4.00E+12
09/01/21,UE Bank,169297680,5.58E+12
10/01/21,UE Bank,189465595,6.28E+12
11/01/21,UE Bank,194371101,6.13E+12
12/01/21,UE Bank,224120919,6.91E+12
01/01/22,UE Bank,198777878,8.52E+12
02/01/22,UE Bank,156477566,6.97E+12
03/01/22,UE Bank,161630338,7.08E+12
04/01/22,UE Bank,204587435.7,9.24E+12
05/01/22,UE Bank,201339859.8,7.81E+12
06/01/22,UE Bank,204330155.3,7.03E+12
07/01/22,UE Bank,220529434,7.79E+12
08/01/22,UE Bank,227281336,1.21E+13
09/01/22,UE Bank,229925472,9.56E+12
10/01/22,UE Bank,242898732,8.81E+12
11/01/22,UE Bank,230832116,7.81E+12
12/01/22,UE Bank,251074577,8.53E+12
01/01/23,UE Bank,239556341,8.06E+12
02/01/23,UE Bank,222957410,7.27E+12
03/01/23,UE Bank,241217899,8.37E+12
04/01/23,UE Bank,217488152,8.79E+12
05/01/23,UE Bank,241389292.2,8.54E+12
06/01/23,UE Bank,234734079,8.48E+12
07/01/23,UE Bank,251259407,9.07E+12
08/01/23,UE Bank,251743226,8.64E+12
09/01/23,UE Bank,242177807,8.48E+12
